01:06:52: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:53: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:53: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:53: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:53: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:54: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:54: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:54: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:54: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:55: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:55: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:55: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:55: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:56: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 186] Error in Telemetry.run(): name 'normalize' is not defined
01:06:56: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
01:06:57: [WARNING] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 140] Did not receive both ATTITUDE and LOCAL_POSITION_NED within 1 second.
01:06:57: [ERROR] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 66] Attempting to enqueue None telemetry_data! Skipping.
